Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.490000,1.600000,1.460000,1.600000,1.384912,1511500
2016-01-05,1.550000,1.600000,1.520000,1.600000,1.384912,2592400
2016-01-06,1.550000,1.590000,1.550000,1.590000,1.376257,717800
2016-01-07,1.570000,1.580000,1.460000,1.560000,1.350289,2270600
2016-01-08,1.530000,1.540000,1.520000,1.520000,1.315667,209800
2016-01-11,1.500000,1.530000,1.500000,1.530000,1.324322,161700
2016-01-12,1.520000,1.520000,1.500000,1.510000,1.307011,137400
2016-01-13,1.510000,1.510000,1.480000,1.500000,1.298355,277200
2016-01-14,1.490000,1.500000,1.480000,1.500000,1.298355,206800
2016-01-15,1.500000,1.540000,1.500000,1.530000,1.324322,125400
2016-01-18,1.500000,1.500000,1.480000,1.490000,1.289699,282500
2016-01-19,1.480000,1.500000,1.480000,1.500000,1.298355,67500
2016-01-20,1.500000,1.500000,1.460000,1.460000,1.263732,159000
2016-01-21,1.460000,1.460000,1.400000,1.400000,1.211798,145000
2016-01-22,1.430000,1.440000,1.430000,1.430000,1.237765,17000
2016-01-26,1.430000,1.430000,1.410000,1.410000,1.220454,49400
2016-01-27,1.400000,1.450000,1.400000,1.410000,1.220454,66700
2016-01-28,1.420000,1.420000,1.410000,1.410000,1.220454,55600
2016-01-29,null,null,null,null,null,null
2016-02-02,1.460000,1.460000,1.460000,1.460000,1.263732,3000
2016-02-03,1.460000,1.460000,1.430000,1.430000,1.237765,28600
2016-02-04,null,null,null,null,null,null
2016-02-05,1.460000,1.480000,1.450000,1.470000,1.272388,145500
2016-02-08,1.470000,1.470000,1.470000,1.470000,1.272388,0
2016-02-09,1.470000,1.470000,1.470000,1.470000,1.272388,0
2016-02-10,1.420000,1.480000,1.420000,1.480000,1.281044,105000
2016-02-11,1.480000,1.480000,1.480000,1.480000,1.281044,31200
2016-02-12,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,null,null,null,null,null,null
2016-02-17,1.500000,1.520000,1.500000,1.510000,1.307011,48200
2016-02-18,null,null,null,null,null,null
2016-02-19,null,null,null,null,null,null
2016-02-22,1.540000,1.540000,1.520000,1.520000,1.315667,288600
2016-02-23,null,null,null,null,null,null
2016-02-24,null,null,null,null,null,null
2016-02-25,1.510000,1.520000,1.500000,1.520000,1.315667,251100
2016-02-26,null,null,null,null,null,null
2016-02-29,1.500000,1.540000,1.500000,1.540000,1.332978,271900
2016-03-01,null,null,null,null,null,null
2016-03-02,null,null,null,null,null,null
2016-03-03,null,null,null,null,null,null
2016-03-04,1.530000,1.540000,1.510000,1.520000,1.315667,161700
2016-03-07,null,null,null,null,null,null
2016-03-08,null,null,null,null,null,null
2016-03-09,1.490000,1.540000,1.490000,1.510000,1.307011,66900
2016-03-10,null,null,null,null,null,null
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,null,null,null,null,null,null
2016-03-16,null,null,null,null,null,null
2016-03-17,1.530000,1.540000,1.520000,1.530000,1.324322,249200
2016-03-18,null,null,null,null,null,null
2016-03-21,null,null,null,null,null,null
2016-03-22,null,null,null,null,null,null
2016-03-23,1.560000,1.560000,1.520000,1.550000,1.341634,595600
2016-03-24,1.530000,1.540000,1.520000,1.540000,1.332978,221400
2016-03-25,null,null,null,null,null,null
2016-03-28,null,null,null,null,null,null
2016-03-29,null,null,null,null,null,null
2016-03-30,null,null,null,null,null,null
2016-03-31,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-04-04,1.550000,1.550000,1.530000,1.540000,1.332978,209900
2016-04-05,null,null,null,null,null,null
2016-04-06,null,null,null,null,null,null
2016-04-07,1.530000,1.540000,1.510000,1.530000,1.324322,295900
2016-04-08,null,null,null,null,null,null
2016-04-11,null,null,null,null,null,null
2016-04-12,null,null,null,null,null,null
2016-04-13,null,null,null,null,null,null
2016-04-14,null,null,null,null,null,null
2016-04-15,null,null,null,null,null,null
2016-04-18,null,null,null,null,null,null
2016-04-19,null,null,null,null,null,null
2016-04-20,null,null,null,null,null,null
2016-04-21,null,null,null,null,null,null
