Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,0.855000,0.870000,0.855000,0.855000,0.736964,2202800
2016-01-05,0.855000,0.860000,0.840000,0.840000,0.724035,4422000
2016-01-06,0.845000,0.865000,0.845000,0.860000,0.741274,4998900
2016-01-07,0.855000,0.860000,0.840000,0.850000,0.732654,2717300
2016-01-08,0.840000,0.860000,0.840000,0.845000,0.728345,1645500
2016-01-11,0.840000,0.850000,0.830000,0.840000,0.724035,3169400
2016-01-12,0.845000,0.845000,0.830000,0.830000,0.715415,2256600
2016-01-13,0.840000,0.850000,0.830000,0.835000,0.719725,2403800
2016-01-14,0.830000,0.835000,0.810000,0.810000,0.698176,3882300
2016-01-15,0.820000,0.825000,0.800000,0.805000,0.693867,2616800
2016-01-18,0.800000,0.800000,0.760000,0.775000,0.668008,2859300
2016-01-19,0.785000,0.800000,0.770000,0.795000,0.685247,2997700
2016-01-20,0.800000,0.805000,0.765000,0.765000,0.659389,3409600
2016-01-21,0.760000,0.780000,0.720000,0.740000,0.637840,3441000
2016-01-22,0.750000,0.765000,0.710000,0.725000,0.624911,11772300
2016-01-26,0.725000,0.735000,0.720000,0.720000,0.620601,2919300
2016-01-27,0.730000,0.745000,0.725000,0.745000,0.642150,3813200
2016-01-28,0.735000,0.735000,0.685000,0.690000,0.594743,8177200
2016-01-29,0.705000,0.705000,0.695000,0.700000,0.603362,2405500
2016-02-02,0.700000,0.715000,0.700000,0.710000,0.611982,1873800
2016-02-03,0.710000,0.745000,0.700000,0.745000,0.642150,3952800
2016-02-04,0.750000,0.755000,0.725000,0.740000,0.637840,1049100
2016-02-05,0.735000,0.735000,0.720000,0.725000,0.624911,1259600
2016-02-08,0.725000,0.725000,0.725000,0.725000,0.624911,0
2016-02-09,0.725000,0.725000,0.725000,0.725000,0.624911,0
2016-02-10,0.725000,0.725000,0.705000,0.715000,0.616291,634600
2016-02-11,0.720000,0.720000,0.705000,0.710000,0.611982,419100
2016-02-12,0.710000,0.710000,0.695000,0.700000,0.603362,1154100
2016-02-15,0.700000,0.715000,0.700000,0.715000,0.616291,737000
2016-02-16,0.715000,0.720000,0.710000,0.715000,0.616291,915800
2016-02-17,0.715000,0.730000,0.715000,0.720000,0.620601,1281400
2016-02-18,0.720000,0.730000,0.715000,0.715000,0.616291,1032300
2016-02-19,0.730000,0.730000,0.715000,0.730000,0.629221,837200
2016-02-22,0.735000,0.735000,0.720000,0.730000,0.629221,638100
2016-02-23,0.735000,0.740000,0.725000,0.725000,0.624911,1224000
2016-02-24,0.730000,0.730000,0.715000,0.720000,0.620601,577700
2016-02-25,0.720000,0.730000,0.715000,0.720000,0.620601,1166900
2016-02-26,0.720000,0.730000,0.715000,0.720000,0.620601,688800
2016-02-29,0.715000,0.715000,0.660000,0.670000,0.577504,7570100
2016-03-01,0.670000,0.690000,0.670000,0.690000,0.594743,3492200
2016-03-02,0.695000,0.695000,0.665000,0.675000,0.581814,4886100
2016-03-03,0.675000,0.675000,0.650000,0.660000,0.568884,6353100
2016-03-04,0.665000,0.670000,0.655000,0.670000,0.577504,6029700
2016-03-07,0.670000,0.675000,0.650000,0.660000,0.568884,2549600
2016-03-08,0.665000,0.665000,0.655000,0.655000,0.564575,1315400
2016-03-09,0.660000,0.670000,0.655000,0.665000,0.573194,3479300
2016-03-10,0.665000,0.680000,0.665000,0.675000,0.581814,2546200
2016-03-11,0.675000,0.725000,0.675000,0.720000,0.620601,7597000
2016-03-14,0.720000,0.740000,0.715000,0.735000,0.633530,6843600
2016-03-15,0.735000,0.735000,0.720000,0.730000,0.629221,3811000
2016-03-16,0.725000,0.725000,0.705000,0.715000,0.627028,1566600
2016-03-17,0.720000,0.745000,0.715000,0.740000,0.648952,3580500
2016-03-18,0.745000,0.750000,0.725000,0.730000,0.640183,1021600
2016-03-21,0.730000,0.730000,0.715000,0.715000,0.627028,782700
2016-03-22,0.715000,0.725000,0.705000,0.705000,0.618259,1512900
2016-03-23,0.715000,0.715000,0.695000,0.700000,0.613874,1202800
2016-03-24,null,null,null,null,null,null
2016-03-25,0.695000,0.695000,0.680000,0.680000,0.596335,1535000
2016-03-28,0.685000,0.695000,0.685000,0.695000,0.609489,478500
2016-03-29,0.700000,0.720000,0.695000,0.715000,0.627028,1987500
2016-03-30,0.715000,0.740000,0.715000,0.740000,0.648952,4780100
2016-03-31,0.740000,0.755000,0.730000,0.730000,0.640183,4622700
2016-04-01,0.735000,0.740000,0.720000,0.725000,0.635798,1146300
