Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.270000,1.290000,1.250000,1.280000,1.151512,198900
2016-01-05,1.280000,1.340000,1.280000,1.340000,1.205489,942300
2016-01-06,1.340000,1.360000,1.330000,1.350000,1.214485,216500
2016-01-07,1.330000,1.330000,1.300000,1.330000,1.196493,268300
2016-01-08,1.310000,1.380000,1.310000,1.340000,1.205489,370900
2016-01-11,1.370000,1.370000,1.330000,1.340000,1.205489,208600
2016-01-12,1.320000,1.340000,1.320000,1.320000,1.187497,137600
2016-01-13,1.320000,1.360000,1.320000,1.350000,1.214485,984100
2016-01-14,1.310000,1.350000,1.300000,1.340000,1.205489,18700
2016-01-15,1.330000,1.350000,1.310000,1.340000,1.205489,259200
2016-01-18,1.300000,1.340000,1.300000,1.340000,1.205489,169800
2016-01-19,1.360000,1.360000,1.330000,1.350000,1.214485,47800
2016-01-20,1.350000,1.350000,1.340000,1.350000,1.214485,184000
2016-01-21,1.310000,1.340000,1.300000,1.320000,1.187497,281400
2016-01-22,1.300000,1.330000,1.280000,1.310000,1.178500,413500
2016-01-26,1.310000,1.310000,1.230000,1.280000,1.151512,1194600
2016-01-27,1.250000,1.290000,1.250000,1.280000,1.151512,965300
2016-01-28,1.270000,1.290000,1.260000,1.280000,1.151512,248900
2016-01-29,1.280000,1.290000,1.260000,1.280000,1.151512,225200
2016-02-02,1.280000,1.290000,1.270000,1.280000,1.151512,312300
2016-02-03,1.270000,1.270000,1.250000,1.260000,1.133519,573400
2016-02-04,1.270000,1.300000,1.260000,1.300000,1.169504,736300
2016-02-05,1.280000,1.290000,1.270000,1.280000,1.151512,385600
2016-02-08,1.280000,1.280000,1.280000,1.280000,1.151512,0
2016-02-09,1.280000,1.280000,1.280000,1.280000,1.151512,0
2016-02-10,1.310000,1.310000,1.250000,1.270000,1.142516,134400
2016-02-11,1.300000,1.320000,1.260000,1.290000,1.160508,134600
2016-02-12,1.300000,1.300000,1.290000,1.300000,1.169504,34700
2016-02-15,1.340000,1.340000,1.300000,1.300000,1.169504,200200
2016-02-16,1.310000,1.360000,1.310000,1.360000,1.223481,515400
2016-02-17,1.350000,1.380000,1.350000,1.380000,1.241474,241700
2016-02-18,1.390000,1.420000,1.360000,1.360000,1.223481,1011100
2016-02-19,1.350000,1.360000,1.320000,1.350000,1.214485,886600
2016-02-22,1.350000,1.390000,1.350000,1.380000,1.241474,997900
2016-02-23,1.370000,1.390000,1.360000,1.370000,1.232477,964600
2016-02-24,1.390000,1.410000,1.350000,1.400000,1.259466,805800
2016-02-25,1.350000,1.400000,1.350000,1.350000,1.214485,639500
2016-02-26,1.350000,1.380000,1.320000,1.320000,1.187497,120400
2016-02-29,1.350000,1.360000,1.340000,1.360000,1.223481,378500
2016-03-01,1.330000,1.360000,1.330000,1.340000,1.205489,120100
2016-03-02,1.340000,1.370000,1.320000,1.320000,1.187497,917500
2016-03-03,1.350000,1.390000,1.340000,1.370000,1.232477,221000
2016-03-04,1.360000,1.400000,1.360000,1.390000,1.250470,332600
2016-03-07,1.340000,1.400000,1.340000,1.380000,1.241474,114700
2016-03-08,1.380000,1.380000,1.350000,1.350000,1.214485,35400
2016-03-09,1.370000,1.380000,1.350000,1.370000,1.232477,24600
2016-03-10,1.370000,1.400000,1.360000,1.390000,1.250470,210000
2016-03-11,1.380000,1.400000,1.370000,1.400000,1.259466,12300
2016-03-14,1.400000,1.410000,1.400000,1.410000,1.268462,552700
