Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1.820000,1.820000,1.760000,1.820000,1.543315,13400
2016-01-05,1.760000,1.800000,1.730000,1.800000,1.526355,41300
2016-01-06,1.790000,1.800000,1.760000,1.800000,1.526355,96900
2016-01-07,1.780000,1.790000,1.750000,1.790000,1.517875,139900
2016-01-08,1.760000,1.770000,1.760000,1.760000,1.492436,52800
2016-01-11,1.760000,1.760000,1.740000,1.750000,1.483956,73400
2016-01-12,1.760000,1.760000,1.720000,1.740000,1.475477,85400
2016-01-13,1.750000,1.750000,1.720000,1.740000,1.475477,56000
2016-01-14,1.730000,1.740000,1.700000,1.720000,1.458517,39200
2016-01-15,1.700000,1.720000,1.680000,1.700000,1.441558,50900
2016-01-18,1.700000,1.700000,1.700000,1.700000,1.441558,0
2016-01-19,1.690000,1.700000,1.670000,1.680000,1.424598,77100
2016-01-20,1.670000,1.680000,1.640000,1.670000,1.416118,56000
2016-01-21,1.650000,1.700000,1.650000,1.700000,1.441558,40300
2016-01-22,1.690000,1.750000,1.670000,1.680000,1.424598,25000
2016-01-26,1.680000,1.680000,1.650000,1.670000,1.416118,32000
2016-01-27,1.660000,1.700000,1.650000,1.670000,1.416118,66000
2016-01-28,1.650000,1.650000,1.640000,1.640000,1.390679,21000
2016-01-29,1.650000,1.670000,1.630000,1.650000,1.399159,86200
2016-02-02,1.650000,1.650000,1.620000,1.640000,1.390679,51200
2016-02-03,1.620000,1.640000,1.600000,1.640000,1.390679,39200
2016-02-04,1.620000,1.620000,1.600000,1.620000,1.373720,74200
2016-02-05,1.620000,1.630000,1.590000,1.630000,1.382199,83100
2016-02-08,1.630000,1.630000,1.630000,1.630000,1.382199,0
2016-02-09,1.630000,1.630000,1.630000,1.630000,1.382199,0
2016-02-10,1.630000,1.700000,1.630000,1.700000,1.441558,53400
2016-02-11,1.700000,1.700000,1.630000,1.690000,1.433078,13200
2016-02-12,1.700000,1.700000,1.660000,1.680000,1.424598,19100
2016-02-15,1.680000,1.680000,1.680000,1.680000,1.424598,10000
2016-02-16,1.680000,1.680000,1.650000,1.680000,1.424598,54700
2016-02-17,1.680000,1.700000,1.680000,1.700000,1.441558,26000
2016-02-18,1.660000,1.730000,1.660000,1.700000,1.441558,25200
2016-02-19,1.740000,1.850000,1.710000,1.780000,1.509395,53700
2016-02-22,1.740000,1.780000,1.740000,1.760000,1.492436,74700
2016-02-23,1.770000,1.780000,1.760000,1.760000,1.492436,17900
2016-02-24,1.760000,1.760000,1.730000,1.760000,1.492436,32000
2016-02-25,1.750000,1.770000,1.720000,1.740000,1.475477,129700
2016-02-26,1.760000,1.760000,1.690000,1.740000,1.475477,19900
2016-02-29,1.730000,1.740000,1.700000,1.720000,1.458517,37700
2016-03-01,1.720000,1.720000,1.640000,1.690000,1.433078,102300
2016-03-02,1.690000,1.700000,1.640000,1.640000,1.390679,37800
2016-03-03,1.690000,1.700000,1.640000,1.670000,1.416118,49500
2016-03-04,1.650000,1.670000,1.640000,1.670000,1.416118,118200
2016-03-07,1.640000,1.650000,1.600000,1.600000,1.356760,121700
2016-03-08,1.600000,1.650000,1.600000,1.620000,1.373720,4000
2016-03-09,1.650000,1.650000,1.650000,1.650000,1.399159,2000
2016-03-10,1.650000,1.650000,1.650000,1.650000,1.399159,100
2016-03-11,1.610000,1.650000,1.610000,1.650000,1.399159,2400
2016-03-14,1.650000,1.660000,1.630000,1.660000,1.407639,32000
2016-03-15,1.660000,1.670000,1.650000,1.670000,1.416118,12500
2016-03-16,1.700000,1.750000,1.690000,1.700000,1.441558,39100
2016-03-17,1.700000,1.700000,1.670000,1.680000,1.424598,21900
2016-03-18,1.680000,1.690000,1.650000,1.690000,1.433078,45000
2016-03-21,1.710000,1.710000,1.710000,1.710000,1.450037,2000
2016-03-22,1.710000,1.720000,1.710000,1.720000,1.458517,4500
2016-03-23,1.700000,1.700000,1.680000,1.680000,1.424598,20900
2016-03-24,null,null,null,null,null,null
2016-03-25,1.700000,1.710000,1.680000,1.710000,1.450037,7200
2016-03-28,1.690000,1.700000,1.690000,1.700000,1.441558,17000
2016-03-29,1.680000,1.700000,1.650000,1.700000,1.441558,7100
2016-03-30,1.680000,1.700000,1.660000,1.660000,1.407639,10000
2016-03-31,1.700000,1.720000,1.700000,1.720000,1.458517,2000
2016-04-01,1.700000,1.710000,1.680000,1.700000,1.441558,20100
2016-04-04,1.700000,1.700000,1.700000,1.700000,1.441558,19800
2016-04-05,1.690000,1.700000,1.690000,1.690000,1.433078,11400
2016-04-06,1.670000,1.700000,1.670000,1.700000,1.441558,7100
2016-04-07,1.710000,1.710000,1.690000,1.710000,1.450037,59000
2016-04-08,1.720000,1.720000,1.720000,1.720000,1.458517,26600
2016-04-11,1.680000,1.710000,1.680000,1.700000,1.441558,5900
2016-04-12,1.700000,1.710000,1.670000,1.710000,1.450037,16000
2016-04-13,1.700000,1.700000,1.680000,1.700000,1.441558,24100
